CodigoCliente;Titulo;PrimeiroNome;UltimoNome;Idade;Sexo;Endereco;Cidade;UFCompleto;CEP;Pais;PaisCompleto;Email;RendaMensal;PercentualUtilizacaoLimite;QtdTransacoesNegadas;AnosDeRelacionamentoBanco;JaUsouChequeEspecial;QtdEmprestimos;NumeroAtendimentos;TMA;IndiceSatisfacao;Saldo;CLTV;CanalPref;Churn;UF;mail_domain
306;Sr.;Enzo;Oliveira;34;Masculino;Largo Moganga 1963;Rio de Janeiro;Rio de Janeiro;20535-440;BR;Brazil;EnzoRochaOliveira@jourrapide.com;8015;0.86;15;19;0;5;23;46;0;5273;70;SMS;1;RJ;jourrapide.com
307;Sr.;Kaua;Ribeiro;21;Masculino;Rua Madureira 506;Itaguaí;Rio de Janeiro;23836-410;BR;Brazil;KauaCostaRibeiro@cuvox.de;6022;0.95;11;6;0;4;38;92;0;3169;60;SMS;1;RJ;cuvox.de
308;Sr.;José;Cardoso;41;Masculino;Rua Carlos Bylaardt 1421;Blumenau;Santa Catarina;89057-340;BR;Brazil;JoseSantosCardoso@dayrep.com;8549;1.0;11;10;0;2;41;76;3;8213;61;SMS;1;SC;dayrep.com
309;Sra.;Mariana;Silva;60;Feminino;Rua Baquiá 903;São Paulo;São Paulo;03443-000;BR;Brazil;MarianaBarbosaSilva@armyspy.com;7520;1.0;5;19;0;0;27;60;0;1324;83;Push;1;SP;armyspy.com
310;Sra.;Rafaela;Fernandes;53;Feminino;Rua Petrônio Portella Nunes 922;Guarulhos;São Paulo;07174-280;BR;Brazil;RafaelaBarrosFernandes@jourrapide.com;3168;0.89;0;6;0;0;16;190;3;3570;53;Email;1;SP;jourrapide.com
311;Sra.;Giovana;Fernandes;55;Feminino;Rua Dom Bosco 312;João Monlevade;Minas Gerais;35930-112;BR;Brazil;GiovanaGoncalvesFernandes@teleworm.us;9661;0.47;6;5;0;5;1;7;4;5649;84;Email;1;MG;teleworm.us
312;Sra.;Livia;Lima;49;Feminino;Rua Santa Cruz 1867;Santarém;Pará;68040-450;BR;Brazil;LiviaCostaLima@cuvox.de;9228;0.13;15;5;1;2;2;3;4;8787;59;Ligacao;1;PA;cuvox.de
313;Sr.;Nicolas;Ribeiro;59;Masculino;Travessa São Francisco 1307;Maceió;Alagoas;57017-350;BR;Brazil;NicolasCostaRibeiro@einrot.com;8239;0.34;7;20;0;5;1;7;5;205;56;SMS;1;AL;einrot.com
314;Sr.;Samuel;Pereira;26;Masculino;Rua das Camélias 295;Embu;São Paulo;06810-190;BR;Brazil;SamuelCardosoPereira@cuvox.de;3943;0.14;0;2;0;4;2;3;4;8397;34;Ligacao;1;SP;cuvox.de
315;Sr.;Douglas;Silva;41;Masculino;Rua Joaquim Sarmento 937;Manaus;Amazonas;69010-020;BR;Brazil;DouglasCavalcantiSilva@jourrapide.com;3232;0.32;2;15;0;1;3;4;5;9911;60;SMS;1;AM;jourrapide.com
316;Sr.;Carlos;Fernandes;29;Masculino;Avenida Linolandia 180;Gurupi;Tocantins;77410-440;BR;Brazil;CarlosSantosFernandes@einrot.com;7262;1.0;0;2;0;5;12;53;2;654;34;Push;1;TO;einrot.com
317;Sr.;Martim;Fernandes;49;Masculino;Rua Nove de Julho 496;Sumaré;São Paulo;13177-364;BR;Brazil;MartimSousaFernandes@fleckens.hu;9337;0.97;12;7;1;5;31;151;2;1910;60;Push;1;SP;fleckens.hu
318;Sr.;Joao;Martins;30;Masculino;Trecho MLN ML Trecho 08 39;Lago Norte;Distrito Federal;71540-080;BR;Brazil;JoaoBarbosaMartins@einrot.com;5342;0.43;4;12;1;4;1;4;5;6003;36;Push;1;DF;einrot.com
319;Sra.;Carolina;Souza;49;Feminino;Avenida Coelho e Campos 381;Aracaju;Sergipe;49010-720;BR;Brazil;CarolinaCostaSouza@jourrapide.com;4867;1.0;8;0;0;5;30;125;2;1116;67;Email;1;SE;jourrapide.com
320;Sr.;Júlio;Ferreira;26;Masculino;Rua Abolição 1666;Porto Alegre;Rio Grande do Sul;91790-130;BR;Brazil;JulioSouzaFerreira@jourrapide.com;5517;0.41;4;16;1;0;3;0;4;3389;81;Push;1;RS;jourrapide.com
321;Sr.;Estevan;Martins;33;Masculino;Rua Vicinal Palmas 1473;Goiânia;Goiás;74692-038;BR;Brazil;EstevanBarbosaMartins@fleckens.hu;8397;0.3;11;15;0;0;2;8;5;4796;48;Ligacao;1;GO;fleckens.hu
322;Sr.;Luiz;Gomes;45;Masculino;Rua Antônio de Pinho de Azevedo 328;São Paulo;São Paulo;04386-020;BR;Brazil;LuizAlvesGomes@armyspy.com;5548;0.4;2;13;0;2;3;0;5;4941;43;Email;1;SP;armyspy.com
323;Sr.;Leonardo;Costa;41;Masculino;Rua Ipiranga 911;Betim;Minas Gerais;32663-135;BR;Brazil;LeonardoGoncalvesCosta@rhyta.com;5400;0.91;13;10;0;4;18;119;2;4440;35;SMS;1;MG;rhyta.com
324;Sra.;Gabrielly;Castro;61;Feminino;Rua das Dálias 1451;Aparecida de Goiânia;Goiás;74986-300;BR;Brazil;GabriellyCarvalhoCastro@cuvox.de;7547;0.08;10;7;0;0;3;4;4;6981;73;Push;1;GO;cuvox.de
325;Sra.;Emily;Goncalves;39;Feminino;Avenida dos Aeronautas 230;Tatuí;São Paulo;18280-452;BR;Brazil;EmilyCardosoGoncalves@fleckens.hu;8366;0.35;0;4;0;1;1;5;5;9687;47;Push;1;SP;fleckens.hu
326;Sr.;José;Pereira;37;Masculino;Rua da Alemanha 1497;Betim;Minas Gerais;32550-710;BR;Brazil;JoseSousaPereira@rhyta.com;3755;0.04;6;11;0;1;3;8;5;2420;52;Email;1;MG;rhyta.com
327;Sra.;Ana;Rodrigues;37;Feminino;Rua Doutor Francisco de Paula Moreira Barbosa 272;Itapira;São Paulo;13974-390;BR;Brazil;AnaDiasRodrigues@jourrapide.com;3032;0.32;4;8;1;4;3;4;5;9001;79;Ligacao;1;SP;jourrapide.com
328;Sr.;Matheus;Almeida;65;Masculino;Quadra 100 619;Planaltina de Goiás;Goiás;73755-100;BR;Brazil;MatheusMeloAlmeida@teleworm.us;7056;1.0;10;13;0;1;33;42;0;4961;68;Push;0;GO;teleworm.us
329;Dr.;Erick;Pereira;45;Masculino;Rua Adoniran Barbosa 401;Cascavel;Paraná;85815-240;BR;Brazil;ErickCavalcantiPereira@dayrep.com;3701;0.05;15;9;0;1;1;4;4;4711;52;SMS;1;PR;dayrep.com
330;Sr.;Diogo;Oliveira;66;Masculino;Rua 629 603;Goiânia;Goiás;74440-720;BR;Brazil;DiogoSilvaOliveira@dayrep.com;8456;0.06;2;6;1;0;2;2;4;3542;57;SMS;1;GO;dayrep.com
331;Sr.;Rodrigo;Azevedo;39;Masculino;Rua C 1218;Belo Horizonte;Minas Gerais;30668-060;BR;Brazil;RodrigoGomesAzevedo@teleworm.us;5432;0.85;4;2;0;2;33;122;1;2832;85;SMS;0;MG;teleworm.us
332;Sra.;Eduarda;Alves;28;Feminino;Rua 57 624;Araguaína;Tocantins;77815-760;BR;Brazil;EduardaRochaAlves@teleworm.us;8283;0.3;4;6;0;1;1;1;5;5367;66;Email;1;TO;teleworm.us
333;Sra.;Lavinia;Carvalho;28;Feminino;Rua Sorana Gurian 560;São Paulo;São Paulo;08430-031;BR;Brazil;LaviniaLimaCarvalho@fleckens.hu;8472;0.16;3;3;0;1;3;4;5;1472;50;Email;1;SP;fleckens.hu
334;Sra.;Carla;Santos;56;Feminino;Praça Belo Horizonte 1709;Itabuna;Bahia;45603-095;BR;Brazil;CarlaFerreiraSantos@fleckens.hu;6061;0.13;0;7;0;2;2;2;5;768;37;Ligacao;1;BA;fleckens.hu
335;Sra.;Bruna;Barros;59;Feminino;Rua Padre Ramon Palácios 562;São Paulo;São Paulo;08450-505;BR;Brazil;BrunaRibeiroBarros@dayrep.com;9915;0.27;9;3;0;5;1;6;4;3210;37;Email;1;SP;dayrep.com
336;Sra.;Beatriz;Sousa;45;Feminino;Rua Deputado Augusto Doria 1173;São Gonçalo;Rio de Janeiro;24476-550;BR;Brazil;BeatrizCunhaSousa@jourrapide.com;8959;0.82;11;12;0;5;50;71;2;6084;52;Push;1;RJ;jourrapide.com
337;Sr.;Felipe;Melo;30;Masculino;Rua Jundiai 438;Salto;São Paulo;13323-040;BR;Brazil;FelipeCostaMelo@einrot.com;3152;0.82;14;8;0;4;42;143;2;4551;61;Ligacao;1;SP;einrot.com
338;Sra.;Sophia;Sousa;23;Feminino;Rua Hilário Ribeiro 983;Gravataí;Rio Grande do Sul;94040-220;BR;Brazil;SophiaPereiraSousa@jourrapide.com;3444;0.8;8;16;1;0;36;185;3;7398;51;Ligacao;1;RS;jourrapide.com
339;Sr.;Danilo;Cardoso;26;Masculino;Rua Antenor Martins 1002;São João de Meriti;Rio de Janeiro;25510-180;BR;Brazil;DaniloPintoCardoso@armyspy.com;5752;0.15;11;19;0;1;2;3;5;5164;59;Ligacao;1;RJ;armyspy.com
340;Sra.;Lavinia;Pinto;19;Feminino;Rua Ari Barroso 1016;Guaratinguetá;São Paulo;12514-130;BR;Brazil;LaviniaMartinsPinto@gustr.com;9391;0.87;5;7;0;4;21;61;3;3221;75;Ligacao;1;SP;gustr.com
341;Sra.;Yasmin;Pinto;18;Feminino;Rua Frederico Elling 81;Joinville;Santa Catarina;89239-277;BR;Brazil;YasminMartinsPinto@dayrep.com;5598;0.03;7;16;0;1;2;1;4;4649;85;Ligacao;1;SC;dayrep.com
342;Sra.;Alice;Cunha;41;Feminino;Rua João Etiene Arreguy 933;Caratinga;Minas Gerais;35305-007;BR;Brazil;AliceAzevedoCunha@dayrep.com;7815;0.8;10;9;0;2;11;68;2;1873;57;Email;1;MG;dayrep.com
343;Sr.;Alex;Cardoso;56;Masculino;Quadra QI 18 Conjunto L 1161;Guará;Distrito Federal;71015-124;BR;Brazil;AlexSilvaCardoso@superrito.com;9425;0.86;15;15;1;1;36;171;3;4249;81;SMS;1;DF;superrito.com
344;Sr.;Nicolas;Costa;51;Masculino;Avenida Canhota 1357;Salvador;Bahia;40310-636;BR;Brazil;NicolasCardosoCosta@fleckens.hu;9701;0.98;3;15;1;0;22;30;2;5654;90;Ligacao;1;BA;fleckens.hu
345;Sra.;Rebeca;Souza;43;Feminino;Servidão João Felipe dos Santos 425;Teresópolis;Rio de Janeiro;25963-575;BR;Brazil;RebecaFerreiraSouza@jourrapide.com;6258;0.36;8;20;1;3;1;0;4;6171;72;SMS;1;RJ;jourrapide.com
346;Sra.;Alice;Silva;34;Feminino;Rua PLA 6 17;Goiânia;Goiás;74884-260;BR;Brazil;AlicePereiraSilva@superrito.com;8199;1.0;4;0;0;1;42;170;3;1059;62;SMS;1;GO;superrito.com
347;Sra.;Eduarda;Gomes;27;Feminino;Rua Alfredo Camilher de Sá 493;Caçapava;São Paulo;12282-250;BR;Brazil;EduardaAzevedoGomes@einrot.com;4705;0.12;14;4;0;2;1;5;5;9036;54;Ligacao;1;SP;einrot.com
348;Sra.;Vitoria;Dias;21;Feminino;Rua Altaneira 227;Recife;Pernambuco;51240-140;BR;Brazil;VitoriaCunhaDias@einrot.com;8804;0.1;13;9;0;0;2;0;5;5203;49;Push;1;PE;einrot.com
349;Sra.;Vitoria;Ferreira;55;Feminino;Rua Quatorze 1660;Atibaia;São Paulo;12948-332;BR;Brazil;VitoriaSilvaFerreira@dayrep.com;8857;0.88;15;11;0;2;36;75;3;3177;68;Email;1;SP;dayrep.com
350;Sra.;Leonor;Pereira;35;Feminino;Rua Sete 611;Ribeirão das Neves;Minas Gerais;33903-170;BR;Brazil;LeonorSousaPereira@gustr.com;5169;1.0;6;17;1;0;14;120;0;5634;65;Email;0;MG;gustr.com
351;Sra.;Larissa;Costa;36;Feminino;Praça Antônio Lyra Torres 76;Rio de Janeiro;Rio de Janeiro;20521-310;BR;Brazil;LarissaLimaCosta@superrito.com;4892;0.46;10;0;1;4;1;3;4;5542;74;Push;1;RJ;superrito.com
352;Sr.;Pedro;Lima;52;Masculino;Travessa Antônio Kataoka 712;Presidente Prudente;São Paulo;19013-580;BR;Brazil;PedroGoncalvesLima@jourrapide.com;7167;0.09;6;16;0;1;1;7;4;1542;86;Ligacao;1;SP;jourrapide.com
353;Dr.;Rafael;Oliveira;36;Masculino;Rua Marciano 1249;São Paulo;São Paulo;02355-160;BR;Brazil;RafaelCastroOliveira@teleworm.us;6892;0.96;13;18;0;0;34;65;2;109;66;Ligacao;1;SP;teleworm.us
354;Sra.;Gabriela;Azevedo;35;Feminino;Rua João de Almeida Prado 1361;Itu;São Paulo;13310-282;BR;Brazil;GabrielaCastroAzevedo@teleworm.us;5392;1.0;7;9;0;5;35;66;1;1827;59;Push;0;SP;teleworm.us
355;Sr.;Erick;Cavalcanti;63;Masculino;Rua Caibi 210;Joinville;Santa Catarina;89207-480;BR;Brazil;ErickCarvalhoCavalcanti@teleworm.us;6901;0.44;10;2;0;2;3;6;4;5486;77;Email;1;SC;teleworm.us
356;Dr.;Ágatha;Cunha;49;Feminino;Quadra QNP 30 1003;Ceilândia;Distrito Federal;72236-000;BR;Brazil;AgathaAraujoCunha@cuvox.de;8485;0.93;9;14;0;2;46;108;2;9840;37;Ligacao;1;DF;cuvox.de
357;Sra.;Isabella;Cunha;35;Feminino;Rua Cacira 1510;São Paulo;São Paulo;03428-060;BR;Brazil;IsabellaCorreiaCunha@rhyta.com;7597;0.91;15;3;0;3;34;123;2;258;84;Email;1;SP;rhyta.com
358;Sr.;Otávio;Ferreira;30;Masculino;Rua das Brumas 243;Rio de Janeiro;Rio de Janeiro;22793-540;BR;Brazil;OtavioBarbosaFerreira@rhyta.com;9706;0.97;5;12;0;3;35;90;2;6575;62;SMS;1;RJ;rhyta.com
359;Sra.;Sophia;Barros;62;Feminino;Escada Alarico Pereira Sacramento 803;Vitória;Espírito Santo;29027-055;BR;Brazil;SophiaMeloBarros@dayrep.com;8215;0.26;12;15;0;1;2;8;5;9575;64;Push;1;ES;dayrep.com
360;Sra.;Bruna;Cardoso;45;Feminino;Rua Pauline Parucker 1341;Joinville;Santa Catarina;89229-495;BR;Brazil;BrunaSousaCardoso@superrito.com;3334;0.21;7;6;0;0;2;5;4;601;84;Ligacao;1;SC;superrito.com
361;Sr.;José;Pereira;59;Masculino;Praça Onze de Maio 1401;Serra;Espírito Santo;29161-115;BR;Brazil;JoseAzevedoPereira@jourrapide.com;4380;0.05;9;16;0;2;1;8;4;1757;51;Push;1;ES;jourrapide.com
362;Sra.;Raissa;Costa;63;Feminino;Rua Doutor Ceciliano Abel de Almeida 1545;Serra;Espírito Santo;29173-311;BR;Brazil;RaissaOliveiraCosta@cuvox.de;7290;0.89;1;8;0;5;30;39;0;2974;78;Push;0;ES;cuvox.de
363;Sr.;Nicolash;Goncalves;33;Masculino;Rua Araucária 136;Itu;São Paulo;13313-372;BR;Brazil;NicolashCavalcantiGoncalves@superrito.com;3810;0.84;12;18;0;5;11;128;0;7356;54;Email;0;SP;superrito.com
364;Sra.;Giovanna;Pinto;26;Feminino;Quadra QNJ 50 552;Taguatinga;Distrito Federal;72140-500;BR;Brazil;GiovannaSantosPinto@cuvox.de;6848;0.85;13;19;1;3;38;110;2;5384;56;Email;1;DF;cuvox.de
365;Sra.;Larissa;Souza;23;Feminino;Rua Pedro Soto Filho 345;Catanduva;São Paulo;15816-035;BR;Brazil;LarissaPereiraSouza@jourrapide.com;4877;0.88;7;13;0;3;49;43;3;7333;82;Email;1;SP;jourrapide.com
366;Sra.;Gabrielly;Ferreira;59;Feminino;Rua Angelina Ricci Vezozzo 570;Londrina;Paraná;86087-340;BR;Brazil;GabriellyDiasFerreira@superrito.com;8213;0.5;1;19;0;3;2;5;5;4198;88;Push;0;PR;superrito.com
367;Sr.;Lucas;Melo;41;Masculino;Rua Padre Reus 1383;Sapucaia do Sul;Rio Grande do Sul;93226-350;BR;Brazil;LucasRodriguesMelo@fleckens.hu;5603;0.0;2;5;1;0;2;5;5;5494;55;SMS;1;RS;fleckens.hu
368;Sra.;Larissa;Cavalcanti;44;Feminino;Rua Inácio Carlos Oliveira 1807;Santa Bárbara D'Oeste;São Paulo;13450-359;BR;Brazil;LarissaSilvaCavalcanti@dayrep.com;3889;1.0;2;9;0;3;16;140;3;1802;38;Email;1;SP;dayrep.com
369;Sr.;Kaua;Costa;18;Masculino;Rua Arsenal Velho 487;Rio de Janeiro;Rio de Janeiro;20091-050;BR;Brazil;KauaPereiraCosta@rhyta.com;3667;0.48;12;14;0;1;2;7;4;3972;33;SMS;1;RJ;rhyta.com
370;Sr.;Matheus;Cunha;54;Masculino;Rua Carajás 603;Manaus;Amazonas;69090-070;BR;Brazil;MatheusBarbosaCunha@superrito.com;4522;0.26;3;9;0;1;1;3;5;7360;50;Ligacao;1;AM;superrito.com
371;Sra.;Giovanna;Rocha;24;Feminino;Rua Carmem Miranda 486;Esteio;Rio Grande do Sul;93270-670;BR;Brazil;GiovannaPintoRocha@fleckens.hu;9955;0.4;3;3;0;3;1;6;5;1542;32;Ligacao;1;RS;fleckens.hu
372;Sra.;Manuela;Almeida;64;Feminino;Rua Domingos Monteiro 1855;Contagem;Minas Gerais;32215-380;BR;Brazil;ManuelaDiasAlmeida@jourrapide.com;4555;0.93;13;14;0;3;10;196;1;9201;57;Ligacao;0;MG;jourrapide.com
373;Sra.;Aline;Cardoso;38;Feminino;Rua São Francisco de Salles 1559;Piracicaba;São Paulo;13412-095;BR;Brazil;AlineSouzaCardoso@jourrapide.com;7317;0.91;7;6;0;4;49;95;1;5746;46;Ligacao;0;SP;jourrapide.com
374;Sra.;Giovana;Lima;39;Feminino;Rua Barbacena 944;Sete Lagoas;Minas Gerais;35700-154;BR;Brazil;GiovanaAlmeidaLima@rhyta.com;7818;0.26;10;17;1;5;3;0;5;4274;48;Email;1;MG;rhyta.com
375;Sra.;Marisa;Sousa;39;Feminino;Rua Manuel Francisco Monteiro 984;Campinas;São Paulo;13031-500;BR;Brazil;MarisaCorreiaSousa@armyspy.com;4223;0.34;13;17;1;4;1;7;4;3485;44;SMS;1;SP;armyspy.com
376;Sra.;Carla;Castro;38;Feminino;Rua Tenente-Coronel Muniz de Aragão 27;Curitiba;Paraná;82220-040;BR;Brazil;CarlaDiasCastro@superrito.com;9584;0.39;4;2;1;2;3;2;4;8469;30;SMS;1;PR;superrito.com
377;Sr.;Davi;Cunha;39;Masculino;Alameda Viçosa 1326;Foz do Iguaçu;Paraná;85855-605;BR;Brazil;DaviCavalcantiCunha@armyspy.com;4543;0.22;0;1;1;4;1;7;5;5304;87;Ligacao;1;PR;armyspy.com
378;Sra.;Clara;Silva;26;Feminino;Avenida Lins de Vasconcelos 1500;São Paulo;São Paulo;04112-012;BR;Brazil;ClaraAlmeidaSilva@superrito.com;5055;0.29;7;18;0;2;1;1;4;3486;68;Ligacao;1;SP;superrito.com
379;Sra.;Thaís;Castro;59;Feminino;Rua das Oliveiras 969;Natal;Rio Grande do Norte;59129-770;BR;Brazil;ThaisCunhaCastro@jourrapide.com;4167;1.0;2;17;0;0;47;151;2;2057;54;Push;1;RN;jourrapide.com
380;Sr.;Renan;Oliveira;29;Masculino;Rua Júlio Cesar 1987;Belo Horizonte;Minas Gerais;31990-050;BR;Brazil;RenanSilvaOliveira@einrot.com;5188;0.04;9;14;0;0;1;7;5;4490;67;SMS;1;MG;einrot.com
381;Sra.;Vitoria;Fernandes;35;Feminino;Rua Emaus 786;Londrina;Paraná;86083-220;BR;Brazil;VitoriaSouzaFernandes@rhyta.com;8422;0.93;3;1;0;3;39;192;3;9836;68;Push;1;PR;rhyta.com
382;Dr.;Júlia;Costa;18;Feminino;Rua Botafogo 1533;Catanduva;São Paulo;15809-133;BR;Brazil;JuliaRibeiroCosta@gustr.com;9741;0.05;5;13;0;2;3;1;5;4042;62;SMS;1;SP;gustr.com
383;Sr.;Vitór;Oliveira;32;Masculino;Área Especial para Indústrias 3 Módulo E 1407;Sobradinho;Distrito Federal;73040-635;BR;Brazil;VitorCorreiaOliveira@gustr.com;7725;0.01;2;6;0;0;3;5;4;4702;42;Email;1;DF;gustr.com
384;Sra.;Ana;Rocha;27;Feminino;Rua Vawdercupe 1758;Santa Luzia;Minas Gerais;33146-253;BR;Brazil;AnaCardosoRocha@gustr.com;8194;0.21;5;10;0;5;1;1;5;9984;41;Ligacao;1;MG;gustr.com
385;Dr.;Tânia;Alves;21;Feminino;Praça Fioravante Menegheto 851;Campinas;São Paulo;13031-559;BR;Brazil;TaniaMeloAlves@fleckens.hu;7215;0.41;11;12;0;1;3;5;5;6842;40;Email;1;SP;fleckens.hu
386;Sra.;Fernanda;Almeida;27;Feminino;Rua Adhelmar de Oliveira 941;Recife;Pernambuco;50050-380;BR;Brazil;FernandaMeloAlmeida@fleckens.hu;9493;1.0;8;19;0;3;19;113;1;7268;88;SMS;0;PE;fleckens.hu
387;Sr.;Arthur;Silva;28;Masculino;Quadra 1006 Sul Alameda 12 A 140;Palmas;Tocantins;77023-582;BR;Brazil;ArthurSousaSilva@teleworm.us;8378;0.84;9;8;0;1;10;41;3;3202;71;Push;1;TO;teleworm.us
388;Sr.;Eduardo;Almeida;56;Masculino;Rua Manoel Nunes Viana 894;Belo Horizonte;Minas Gerais;31844-250;BR;Brazil;EduardoCostaAlmeida@superrito.com;8806;0.84;7;12;0;2;24;99;1;9752;64;Ligacao;0;MG;superrito.com
389;Sra.;Giovana;Gomes;66;Feminino;Rua João Ferreira 316;São Paulo;São Paulo;05816-180;BR;Brazil;GiovanaBarbosaGomes@superrito.com;6441;0.12;2;18;0;1;1;6;4;4074;50;Email;1;SP;superrito.com
390;Sra.;Nicole;Lima;23;Feminino;Avenida Paraná 1063;Salvador;Bahia;41750-065;BR;Brazil;NicoleAraujoLima@cuvox.de;5729;1.0;1;11;1;3;17;50;1;5362;88;Push;0;BA;cuvox.de
391;Sr.;João;Santos;27;Masculino;Rua Anquises Reis 1266;Salvador;Bahia;41750-100;BR;Brazil;JoaoCorreiaSantos@jourrapide.com;8162;0.87;14;5;1;5;37;111;0;1954;39;Push;0;BA;jourrapide.com
392;Sr.;Bruno;Ribeiro;62;Masculino;Rua Pavão 1640;Teresópolis;Rio de Janeiro;25970-640;BR;Brazil;BrunoCunhaRibeiro@einrot.com;9245;0.83;7;3;1;4;13;98;2;1823;49;Ligacao;1;RJ;einrot.com
393;Sra.;Júlia;Santos;65;Feminino;Travessa Quatro 1839;Patos de Minas;Minas Gerais;38700-234;BR;Brazil;JuliaCorreiaSantos@armyspy.com;4013;0.94;3;6;0;1;11;70;3;5601;84;Ligacao;1;MG;armyspy.com
394;Sr.;Estevan;Almeida;21;Masculino;Rua Viana 959;Nova Iguaçu;Rio de Janeiro;26277-301;BR;Brazil;EstevanPintoAlmeida@einrot.com;6814;0.2;12;18;0;3;1;6;4;2794;70;Email;1;RJ;einrot.com
395;Sr.;Otávio;Oliveira;49;Masculino;Rua Quarenta e Três 1964;Vila Velha;Espírito Santo;29105-195;BR;Brazil;OtavioAraujoOliveira@gustr.com;6992;0.02;11;16;0;3;3;1;5;5694;88;SMS;1;ES;gustr.com
396;Sra.;Yasmin;Barros;54;Feminino;Rua Sinésio Paes de Barros 789;Jaú;São Paulo;17208-420;BR;Brazil;YasminOliveiraBarros@einrot.com;9559;0.16;7;0;0;4;3;7;5;4181;45;Email;1;SP;einrot.com
397;Sra.;Clara;Alves;28;Feminino;Rua Peda Reinlein 1425;Blumenau;Santa Catarina;89053-030;BR;Brazil;ClaraLimaAlves@fleckens.hu;4283;0.35;4;0;0;1;2;0;5;4750;53;SMS;1;SC;fleckens.hu
398;Sra.;Matilde;Barros;66;Feminino;Rua Moreira César 421;Montes Claros;Minas Gerais;39400-508;BR;Brazil;MatildeCostaBarros@dayrep.com;5172;0.4;8;0;0;5;1;2;4;3853;75;SMS;1;MG;dayrep.com
399;Sra.;Eduarda;Sousa;45;Feminino;Rua México 1992;Pirassununga;São Paulo;13635-114;BR;Brazil;EduardaAlvesSousa@cuvox.de;3844;0.14;0;1;0;3;1;7;4;7493;70;Email;1;SP;cuvox.de
400;Sra.;Gabrielle;Gomes;55;Feminino;Rua Santa Liduína 119;Serra;Espírito Santo;29173-369;BR;Brazil;GabrielleAlmeidaGomes@teleworm.us;9568;1.0;8;8;0;0;49;135;3;1164;37;Push;1;ES;teleworm.us
401;Sr.;Gabriel;Cardoso;40;Masculino;Rua Marechal Rondon 1456;Arapiraca;Alagoas;57312-160;BR;Brazil;GabrielFernandesCardoso@einrot.com;7909;0.14;12;11;0;4;1;4;4;5601;62;Email;1;AL;einrot.com
402;Sra.;Nicole;Silva;34;Feminino;Rua Euclides da Cunha 970;Araçatuba;São Paulo;16015-453;BR;Brazil;NicoleCarvalhoSilva@einrot.com;3353;0.01;6;19;0;2;2;8;5;9816;68;SMS;1;SP;einrot.com
403;Sr.;Otávio;Lima;49;Masculino;Rua A 66;Teixeira de Freitas;Bahia;45995-265;BR;Brazil;OtavioAlmeidaLima@einrot.com;3227;0.44;4;16;1;5;2;5;5;8457;87;SMS;1;BA;einrot.com
404;Sr.;Antônio;Pinto;65;Masculino;Rua Achilles Bertoldi 168;Campinas;São Paulo;13059-623;BR;Brazil;AntonioCorreiaPinto@jourrapide.com;4082;1.0;15;1;0;0;44;31;3;3845;76;Email;1;SP;jourrapide.com
405;Sr.;Bruno;Rodrigues;56;Masculino;Rua São Cristóvão 194;Belo Horizonte;Minas Gerais;31750-110;BR;Brazil;BrunoBarrosRodrigues@fleckens.hu;3614;0.9;13;15;0;2;21;97;3;4838;82;Ligacao;1;MG;fleckens.hu
406;Sr.;Julian;Cunha;42;Masculino;Quadra 906 Sul Alameda 3 1197;Palmas;Tocantins;77023-428;BR;Brazil;JulianMeloCunha@dayrep.com;7135;0.0;14;20;0;5;1;3;4;7475;38;Ligacao;1;TO;dayrep.com
407;Sra.;Thaís;Pereira;58;Feminino;Rua Oristel Winckler 1573;Passo Fundo;Rio Grande do Sul;99052-335;BR;Brazil;ThaisCostaPereira@cuvox.de;4464;0.46;2;9;0;5;3;1;4;914;53;Push;1;RS;cuvox.de
408;Sr.;Diogo;Castro;63;Masculino;Rua Isidoro de Sevilha 793;São Paulo;São Paulo;03286-010;BR;Brazil;DiogoRochaCastro@cuvox.de;6551;0.47;3;18;0;4;1;5;5;1647;58;SMS;1;SP;cuvox.de
409;Sr.;Kaua;Martins;64;Masculino;Rua Sílvio Silingardi 179;Guarulhos;São Paulo;07082-340;BR;Brazil;KauaCorreiaMartins@fleckens.hu;8326;0.97;7;1;1;2;28;83;0;4776;66;Ligacao;1;SP;fleckens.hu
410;Sra.;Camila;Ribeiro;34;Feminino;Rua Projetada 1536;Teresina;Piauí;64074-010;BR;Brazil;CamilaMeloRibeiro@jourrapide.com;4816;0.24;15;0;0;3;3;0;4;8488;73;Push;1;PI;jourrapide.com
411;Sr.;Victor;Goncalves;66;Masculino;Rua Maia 815;Belford Roxo;Rio de Janeiro;26157-020;BR;Brazil;VictorOliveiraGoncalves@rhyta.com;4657;0.89;13;5;0;2;12;130;3;8655;47;Push;1;RJ;rhyta.com
412;Sr.;Ryan;Rodrigues;36;Masculino;Travessa Castro Alves 731;Osasco;São Paulo;06236-160;BR;Brazil;RyanCarvalhoRodrigues@rhyta.com;3889;0.06;8;9;0;3;2;2;5;2545;80;SMS;1;SP;rhyta.com
413;Sr.;Felipe;Alves;53;Masculino;Rua Dois 1277;Betim;Minas Gerais;32636-820;BR;Brazil;FelipeSousaAlves@superrito.com;7915;0.45;12;2;0;1;1;0;5;4790;55;Email;1;MG;superrito.com
414;Sr.;Davi;Cunha;50;Masculino;Travessa São Luis 422;Manaus;Amazonas;69099-221;BR;Brazil;DaviFernandesCunha@rhyta.com;3395;0.33;8;4;1;1;2;0;4;6340;87;Email;1;AM;rhyta.com
